City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
"Goldsboro, NC",NC,,,1295.0,1367.0,1466.0,1466.0
"Watertown, NY",NY,,,,1677.0,1700.0,1700.0
"Sheboygan, WI",WI,,,,,1100.0,1100.0
"Weirton, WV",OH,,,,835.0,887.0,887.0
"Missoula, MT",MT,,,2223.0,2260.0,2387.0,2387.0
"Wooster, OH",OH,,,,,1398.0,1398.0
"Bozeman, MT",MT,2256.0,2507.0,2644.0,2713.0,2740.0,2740.0
"Anniston, AL",AL,,,1137.0,1193.0,1236.0,1236.0
"Beckley, WV",WV,,,,1003.0,1102.0,1102.0
"Williamsport, PA",PA,,,,,1184.0,1184.0
"Brunswick, GA",GA,,1752.0,1838.0,1875.0,1946.0,1946.0
"Twin Falls, ID",ID,,1628.0,1681.0,1766.0,1809.0,1809.0
"California, MD",MD,1821.0,1995.0,2104.0,2216.0,2359.0,2359.0
"Cookeville, TN",TN,1383.0,1521.0,1620.0,1682.0,1761.0,1761.0
"Muncie, IN",IN,911.0,1020.0,1085.0,1161.0,1256.0,1256.0
"Michigan City, IN",IN,,,,,1432.0,1432.0
"Roseburg, OR",OR,,,,1501.0,1577.0,1577.0
"Lewiston, ME",ME,,,,,1961.0,1961.0
"Longview, WA",WA,,1656.0,1764.0,1820.0,1918.0,1918.0
"Kankakee, IL",IL,,,,1481.0,1539.0,1539.0
"Bluefield, WV",VA,,,,,880.0,880.0
"Show Low, AZ",AZ,,,,,2178.0,2178.0
"Richmond, KY",KY,,1186.0,1300.0,1368.0,1434.0,1434.0
"Tullahoma, TN",TN,,1308.0,1395.0,1494.0,1562.0,1562.0
"Whitewater, WI",WI,,,,,2213.0,2213.0
"Ithaca, NY",NY,,,2250.0,2505.0,2714.0,2714.0
"Grand Forks, ND",MN,,,,1436.0,1549.0,1549.0
"Decatur, IL",IL,,,,1077.0,1121.0,1121.0
"LaGrange, GA",GA,,,1112.0,1178.0,1342.0,1342.0
"Fond du Lac, WI",WI,,,,,1115.0,1115.0
"Gettysburg, PA",PA,,,,,1467.0,1467.0
"Gadsden, AL",AL,,,,,1062.0,1062.0
"Kalispell, MT",MT,,,2549.0,2609.0,2663.0,2663.0
"Danville, VA",VA,,,,,1419.0,1419.0
"Mankato, MN",MN,,,,1643.0,1683.0,1683.0
"Lima, OH",OH,,,,,1301.0,1301.0
"Truckee, CA",CA,,2543.0,2664.0,2755.0,2848.0,2848.0
"Sebring, FL",FL,1186.0,1405.0,1527.0,1573.0,1633.0,1633.0
"Cheyenne, WY",WY,1416.0,1541.0,1601.0,1691.0,1757.0,1757.0
"Hot Springs, AR",AR,,1252.0,1333.0,1395.0,1454.0,1454.0
"Adrian, MI",MI,,,,,1962.0,1962.0
"Shelby, NC",NC,,,1338.0,1368.0,1408.0,1408.0
"Dubuque, IA",IA,,1306.0,1372.0,1465.0,1549.0,1549.0
"Meridian, MS",MS,,,,,1439.0,1439.0
"Pinehurst, NC",NC,1681.0,1918.0,2016.0,2083.0,2126.0,2126.0
"Paducah, KY",KY,,,,,1480.0,1480.0
"Victoria, TX",TX,,,,1518.0,1558.0,1558.0
"Rome, GA",GA,,,1214.0,1250.0,1319.0,1319.0
"Sevierville, TN",TN,,,,1959.0,2043.0,2043.0
"Moses Lake, WA",WA,,,,1931.0,1975.0,1975.0
"Cape Girardeau, MO",MO,,1221.0,1215.0,1263.0,1326.0,1326.0
"Albertville, AL",AL,,,,,1453.0,1453.0
"Fairbanks, AK",AK,,,,2038.0,2116.0,2116.0
"Brainerd, MN",MN,,,,,1428.0,1428.0
"Cumberland, MD",MD,,,,,1112.0,1112.0
"Corvallis, OR",OR,1871.0,2049.0,2202.0,2319.0,2416.0,2416.0
"Pocatello, ID",ID,,,1482.0,1535.0,1591.0,1591.0
"Sunbury, PA",PA,,,,,1000.0,1000.0
"Ukiah, CA",CA,,,,2048.0,2098.0,2098.0
"Hermiston, OR",OR,,,,1471.0,1509.0,1509.0
"Clarksburg, WV",WV,,,,,1205.0,1205.0
"Parkersburg, WV",WV,,,,,1172.0,1172.0
"Pine Bluff, AR",AR,,,,,860.0,860.0
"Grants Pass, OR",OR,,,,1789.0,1868.0,1868.0
"Cullman, AL",AL,,,,,1566.0,1566.0
"Zanesville, OH",OH,,,,,1053.0,1053.0
"New Castle, PA",PA,,,,,1044.0,1044.0
"Oak Harbor, WA",WA,1888.0,2064.0,2223.0,2342.0,2450.0,2450.0
"Orangeburg, SC",SC,,,,,1135.0,1135.0
"Great Falls, MT",MT,,1509.0,1552.0,1657.0,1776.0,1776.0
"Russellville, AR",AR,,,,,1171.0,1171.0
"Midland, MI",MI,,,,1467.0,1625.0,1625.0
"Kokomo, IN",IN,,939.0,976.0,1120.0,1190.0,1190.0
"Bloomsburg, PA",PA,,,,,1602.0,1602.0
"Helena, MT",MT,,,,2093.0,2164.0,2164.0
"Key West, FL",FL,3425.0,3717.0,3931.0,4028.0,4071.0,4071.0
"Talladega, AL",AL,,,1169.0,1215.0,1248.0,1248.0
"Stillwater, OK",OK,1134.0,1236.0,1310.0,1376.0,1456.0,1456.0
"Columbus, IN",IN,1350.0,1423.0,1532.0,1617.0,1677.0,1677.0
"Athens, TX",TX,,1414.0,1446.0,1488.0,1540.0,1540.0
"Centralia, WA",WA,,,,1754.0,1815.0,1815.0
"Manitowoc, WI",WI,,,,,1295.0,1295.0
"Hinesville, GA",GA,1300.0,1535.0,1616.0,1699.0,1762.0,1762.0
"Warsaw, IN",IN,,,,,1606.0,1606.0
"Statesboro, GA",GA,,1418.0,1495.0,1622.0,1723.0,1723.0
"Casper, WY",WY,,,1231.0,1310.0,1348.0,1348.0
"Wilson, NC",NC,,,,,1513.0,1513.0
"Glenwood Springs, CO",CO,,,14692.0,15965.0,17533.0,17533.0
"Seneca, SC",SC,,,1380.0,1485.0,1579.0,1579.0
"Minot, ND",ND,,,1430.0,1490.0,1576.0,1576.0
"Searcy, AR",AR,,,,,1315.0,1315.0
"Grand Island, NE",NE,,,,,1277.0,1277.0
"Port Angeles, WA",WA,,,,,2022.0,2022.0
"Huntsville, TX",TX,,,,1645.0,1701.0,1701.0
"Heber, UT",UT,3408.0,3886.0,3892.0,3971.0,4069.0,4069.0
"Sandusky, OH",OH,,,,,1752.0,1752.0
"Frankfort, KY",KY,,,,,1363.0,1363.0
"Danville, IL",IL,,669.0,715.0,829.0,872.0,872.0
"Aberdeen, WA",WA,,,1603.0,1646.0,1751.0,1751.0
"Jefferson, GA",GA,,,2109.0,2194.0,2230.0,2230.0
"Palatka, FL",FL,,,,1503.0,1548.0,1548.0
"Shawnee, OK",OK,,,1020.0,1068.0,1099.0,1099.0
"Greeneville, TN",TN,,,,,1343.0,1343.0
"Greenwood, SC",SC,,,,,1528.0,1528.0
"Lake City, FL",FL,,,,1536.0,1620.0,1620.0
"Klamath Falls, OR",OR,,,1395.0,1418.0,1480.0,1480.0
"Morehead City, NC",NC,,1649.0,1786.0,1884.0,1973.0,1973.0
"Clearlake, CA",CA,,,1820.0,1917.0,1991.0,1991.0
"Alamogordo, NM",NM,,,,1539.0,1628.0,1628.0
"Muskogee, OK",OK,,855.0,909.0,963.0,1046.0,1046.0
"Marion, IN",IN,,,,,1649.0,1649.0
"Richmond, IN",IN,,,,,826.0,826.0
"Marquette, MI",MI,,,,,2400.0,2400.0
"Mount Pleasant, MI",MI,,,,,1439.0,1439.0
"Red Bluff, CA",CA,,,,,1662.0,1662.0
"Jasper, AL",AL,,,1371.0,1438.0,1450.0,1450.0
"Roswell, NM",NM,,,,1391.0,1453.0,1453.0
"Shelton, WA",WA,,,,2107.0,2190.0,2190.0
"Dublin, GA",GA,,,,,1316.0,1316.0
"Nacogdoches, TX",TX,,,,,1193.0,1193.0
"Somerset, KY",KY,,,,,1539.0,1539.0
"Coos Bay, OR",OR,,,,,1914.0,1914.0
"Rexburg, ID",ID,,,,,1598.0,1598.0
"Laconia, NH",NH,,,,,2053.0,2053.0
"Athens, OH",OH,,,,,1475.0,1475.0
"Sanford, NC",NC,,,1710.0,1783.0,1811.0,1811.0
"Enid, OK",OK,,1052.0,1083.0,1128.0,1205.0,1205.0
"Walla Walla, WA",WA,,,,1923.0,1948.0,1948.0
"Albemarle, NC",NC,,,,1288.0,1329.0,1329.0
"Hutchinson, KS",KS,,761.0,825.0,859.0,905.0,905.0
"Hudson, NY",NY,,,,,3750.0,3750.0
"Crossville, TN",TN,,,,1523.0,1593.0,1593.0
"Granbury, TX",TX,,1726.0,1787.0,1832.0,1866.0,1866.0
"Salina, KS",KS,,,1130.0,1183.0,1236.0,1236.0
"Columbus, MS",MS,,,,1619.0,1643.0,1643.0
"Ardmore, OK",OK,,,,,1088.0,1088.0
